,id,course,enroll
0,U_7001215,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-05-01 11:07:00
1,U_7001215,C_course-v1:TsinghuaX+30240184+sp,2017-05-17 10:07:00
2,U_7001215,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-05-01 11:09:00
38,U_1201914,C_course-v1:MicrosoftX+Microsoft101+sp,2017-03-07 14:51:00
40,U_1201914,C_course-v1:TsinghuaX+34100325_X+sp,2017-03-09 10:56:00
46,U_6066001,C_course-v1:TsinghuaX+40050455X+sp,2017-03-30 14:17:00
53,U_3234246,C_course-v1:TsinghuaX+00740123_X+sp,2017-02-27 22:15:00
55,U_3234246,C_course-v1:MITx+6_00_1x+sp,2017-02-27 22:07:00
56,U_3234246,C_course-v1:BIT+PHY1701702+sp,2017-06-07 10:37:00
95,U_484201,C_course-v1:TsinghuaX+00690212X+sp,2017-02-04 13:38:00
96,U_484201,C_course-v1:TsinghuaX+00690242+sp,2017-02-04 12:23:00
106,U_6978915,C_course-v1:Tsinghua+20150001+sp,2017-04-22 18:16:00
129,U_6643176,C_course-v1:TsinghuaX+30240243X+sp,2017-02-26 20:39:00
130,U_6643176,C_course-v1:TsinghuaX+60610231+2016_T2_SP,2017-03-01 12:20:00
131,U_6643176,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-02-13 02:09:00
133,U_6643176,C_course-v1:TsinghuaX+00740123_X+sp,2017-02-13 01:01:00
140,U_6580509,C_course-v1:PekingX+Peking001x+_,2017-04-06 23:07:00
141,U_6580509,C_course-v1:Tsinghua+20150001+sp,2017-03-31 10:49:00
186,U_2464581,C_course-v1:TsinghuaX+30240184+sp,2017-03-28 09:50:00
188,U_2464581,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-03-28 09:43:00
189,U_2464581,C_course-v1:TsinghuaX+00740113_1X+sp,2017-05-27 13:22:00
191,U_2464581,C_course-v1:TsinghuaX+30240243X+sp,2017-04-23 20:04:00
192,U_2464581,C_course-v1:NBCC+NBCC000201+_sp,2017-04-24 01:36:00
216,U_2007523,C_course-v1:UQx+Think101x+sp,2017-05-05 14:30:00
233,U_6980934,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-04-27 20:38:00
234,U_6980934,C_course-v1:TsinghuaX+30150153X+sp,2017-04-23 18:13:00
237,U_6239563,C_course-v1:TsinghuaX+01030132X+sp,2017-01-04 18:10:00
246,U_6239563,C_course-v1:TsinghuaX+20430064_2X+sp,2017-01-04 18:02:00
306,U_4698461,C_course-v1:TsinghuaX+80000822X+sp,2017-03-05 20:22:00
307,U_4698461,C_course-v1:MITx+6_00_1x+sp,2017-04-17 21:32:00
383,U_446016,C_course-v1:MITx+6_00_1x+sp,2017-04-08 10:17:00
406,U_7012251,C_course-v1:TsinghuaX+30240243X+sp,2017-05-05 21:59:00
414,U_7017153,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,2017-05-17 20:19:00
430,U_1119491,C_course-v1:MITx+6_00_1x+sp,2017-02-27 15:10:00
441,U_6942053,C_course-v1:TsinghuaX+30240184+sp,2017-05-09 18:42:00
451,U_322059,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2017-05-09 12:22:00
463,U_1508593,C_course-v1:TsinghuaX+70120073X+sp,2017-04-09 18:11:00
486,U_504844,C_course-v1:TsinghuaX+60240013X+sp,2017-01-07 21:58:00
502,U_6767785,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-03-24 08:05:00
522,U_6819851,C_course-v1:BIT+PHY1701702+sp,2017-06-05 21:54:00
527,U_6819855,C_course-v1:MITx+15_390_2x+sp,2017-03-19 23:19:00
528,U_6819855,C_course-v1:TsinghuaX+00680082X+sp,2017-03-12 20:08:00
530,U_6819855,C_course-v1:TsinghuaX+60240013X+sp,2017-03-13 23:12:00
577,U_6374554,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-01-03 01:23:00
585,U_6922295,C_course-v1:UQx+Think101x+sp,2017-04-09 20:04:00
586,U_6922295,C_course-v1:TsinghuaX+00310222X+sp,2017-04-09 22:07:00
587,U_6922295,C_course-v1:TsinghuaX+01030132X+sp,2017-04-09 22:17:00
621,U_6954247,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,2017-04-19 18:55:00
651,U_2435481,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-04-12 08:04:00
698,U_5329072,C_course-v1:TsinghuaX+30240184+sp,2017-05-07 13:31:00
702,U_6435302,C_course-v1:TsinghuaX+80590952X+sp,2017-04-05 23:31:00
729,U_4257654,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-01-21 23:08:00
730,U_6636043,C_course-v1:TsinghuaX+30040323X+sp,2017-02-04 16:49:00
731,U_6636043,C_course-v1:TsinghuaX+40050455_2X+sp,2017-02-04 16:37:00
770,U_6405153,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-03-04 13:15:00
845,U_6494431,C_course-v1:TsinghuaX+34100325_X+sp,2017-02-02 17:49:00
895,U_6037780,C_course-v1:TsinghuaX+20330334X_2015_2+sp,2017-03-05 12:55:00
897,U_57473,C_course-v1:TsinghuaX+20330334X_2015_2+sp,2017-01-18 08:00:00
898,U_57473,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-02-13 16:34:00
972,U_5533787,C_course-v1:TsinghuaX+20440333X+sp,2017-04-18 20:29:00
975,U_5533787,C_course-v1:TsinghuaX+20120143X+sp,2017-04-19 16:02:00
985,U_7073440,C_course-v1:TsinghuaX+30240184+sp,2017-06-03 08:20:00
1021,U_4360637,C_course-v1:TsinghuaX+00040132X+sp,2017-04-03 21:59:00
1022,U_4360637,C_course-v1:AdelaideX+Wine101x+sp,2017-05-29 20:09:00
1082,U_1185402,C_course-v1:MITx+6_00_1x+sp,2017-01-18 16:59:00
1142,U_6525328,C_course-v1:TsinghuaX+34100325_X+sp,2017-01-04 13:47:00
1170,U_6706617,C_course-v1:MITx+6_00_1x+sp,2017-04-03 16:23:00
1200,U_6348388,C_course-v1:TsinghuaX+00740113_2X+sp,2017-01-11 20:09:00
1201,U_6348388,C_course-v1:TsinghuaX+00740113_1X+sp,2017-01-11 20:09:00
1219,U_7063959,C_course-v1:MITx+6_00_1x+sp,2017-05-29 03:08:00
1220,U_7063959,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-05-29 02:09:00
1296,U_6524754,C_course-v1:MITx+6_00_1x+sp,2017-01-04 11:05:00
1299,U_6524754,C_course-v1:TsinghuaX+30240243X+sp,2017-05-22 08:43:00
1342,U_1074349,C_course-v1:TsinghuaX+00740123_X+sp,2017-01-29 21:10:00
1343,U_1074349,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-01-02 10:19:00
1349,U_1982875,C_course-v1:TsinghuaX+30240243X+sp,2017-04-02 23:25:00
1425,U_7068501,C_course-v1:MITx+15_390_2x+sp,2017-06-02 01:26:00
1431,U_1133818,C_course-v1:TsinghuaX+20350033X+sp,2017-02-27 21:12:00
1436,U_2552325,C_course-v1:TsinghuaX+70120073X+sp,2017-03-23 08:30:00
1477,U_3176926,C_course-v1:TsinghuaX+70660542X+2015_T2,2017-04-21 05:48:00
1478,U_3176926,C_course-v1:ZUELX+B0800280+sp,2017-05-30 19:04:00
1492,U_5309889,C_course-v1:TsinghuaX+30240243X+sp,2017-02-06 21:49:00
1494,U_5309889,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,2017-04-25 10:10:00
1499,U_262457,C_course-v1:HIT+HIT2016001+sp,2017-04-08 22:12:00
1500,U_262457,C_course-v1:TsinghuaX+30240184+sp,2017-01-01 22:03:00
1502,U_262457,C_course-v1:TsinghuaX+00740123_X+sp,2017-01-01 21:59:00
1503,U_262457,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-01-01 21:57:00
1504,U_262457,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-01-01 22:00:00
1516,U_17115,C_course-v1:TsinghuaX+40050444X+sp,2017-04-19 17:20:00
1520,U_1230574,C_course-v1:Tsinghuax+30130123X+sp,2017-02-28 18:19:00
1522,U_1230574,C_course-v1:ZJUX+2017011101X+2017_T1,2017-06-07 19:42:00
1553,U_594822,C_course-v1:TsinghuaX+01030132X+sp,2017-04-04 18:35:00
1634,U_2642586,C_course-v1:TsinghuaX+70120073X+sp,2017-01-30 11:09:00
1701,U_2985349,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-04-30 01:17:00
1706,U_7026568,C_course-v1:NBCC+NBCC000201+_sp,2017-06-07 22:45:00
1709,U_7026568,C_course-v1:MITx+6_00_1x+sp,2017-05-11 11:27:00
1710,U_7026568,C_course-v1:TsinghuaX+00310222X+sp,2017-06-07 22:50:00
1768,U_6471914,C_course-v1:BIT+PHY1701702+sp,2017-01-14 14:00:00
1769,U_6471914,C_course-v1:TsinghuaX+00040132X+sp,2017-01-14 13:54:00
1770,U_6471914,C_course-v1:TsinghuaX+20120143X+sp,2017-01-14 13:54:00
1771,U_6471914,C_course-v1:UQx+Think101x+sp,2017-01-14 14:01:00
1789,U_2618861,C_course-v1:TsinghuaX+34100325_X+sp,2017-05-21 14:53:00
1805,U_4441494,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-04-25 12:19:00
1806,U_4441494,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-02-19 15:21:00
1809,U_4441496,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-04-23 19:25:00
1811,U_4441496,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-02-18 09:15:00
1852,U_2937051,C_course-v1:BIT+PHY1701601+sp,2017-02-18 05:02:00
1856,U_2937052,C_course-v1:NJU+C1026+2016_T2,2017-03-13 22:38:00
1859,U_700497,C_course-v1:TsinghuaX+80000822X+sp,2017-01-22 19:26:00
1910,U_6110874,C_course-v1:TsinghuaX+60240013X+sp,2017-05-04 21:48:00
1931,U_993552,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2017-01-12 14:15:00
1960,U_3204047,C_course-v1:TsinghuaX+00740113_1X+sp,2017-05-10 00:07:00
1961,U_3204047,C_course-v1:TsinghuaX+30240184_2X+sp,2017-01-09 00:49:00
1962,U_3204047,C_course-v1:TsinghuaX+30240184+sp,2017-01-09 00:49:00
1978,U_500304,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-05-10 10:05:00
2019,U_2927368,C_course-v1:MITx+6_00_1x+sp,2017-04-01 23:14:00
2033,U_2528888,C_course-v1:TsinghuaX+80590952X+sp,2017-02-25 14:23:00
2034,U_2528888,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2017-01-21 17:07:00
2041,U_467043,C_course-v1:TsinghuaX+70120073X+sp,2017-04-06 22:27:00
2053,U_199058,C_course-v1:TsinghuaX+00690242+sp,2017-03-30 09:35:00
2054,U_199058,C_course-v1:TsinghuaX+00690212X+sp,2017-04-18 09:21:00
2096,U_2603935,C_course-v1:TsinghuaX+34100325_X+sp,2017-02-16 23:15:00
2132,U_7080389,C_course-v1:TsinghuaX+20440333X+sp,2017-06-06 17:05:00
2133,U_7080389,C_course-v1:TsinghuaX+34000888X+sp,2017-06-06 17:06:00
2135,U_7080389,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-06-06 17:07:00
2137,U_7080387,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-06-06 15:56:00
2148,U_6852498,C_course-v1:TsinghuaX+20430064X+sp,2017-03-18 22:43:00
2149,U_6852498,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-03-25 15:02:00
2150,U_6852498,C_course-v1:TsinghuaX+20430064_2X+sp,2017-04-17 18:31:00
2154,U_1547033,C_course-v1:TsinghuaX+01030132X+sp,2017-02-28 10:07:00
2177,U_6728432,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-03-01 13:01:00
2178,U_6728432,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,2017-03-01 12:59:00
2189,U_3692181,C_course-v1:TsinghuaX+70150023X+sp,2017-01-01 23:50:00
2191,U_3692181,C_course-v1:RiceX+AdvBIO_1x+sp,2017-01-02 21:38:00
2212,U_3182615,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2017-01-05 00:04:00
2215,U_3182615,C_course-v1:BIT+PHY1701702+sp,2017-01-05 00:01:00
2219,U_206561,C_course-v1:TsinghuaX+70120073X+sp,2017-03-05 18:59:00
2261,U_2383401,C_course-v1:UST+UST001+sp,2017-02-04 12:20:00
2263,U_2383401,C_course-v1:TsinghuaX+00740123_X+sp,2017-02-04 11:09:00
2264,U_2383401,C_course-v1:TsinghuaX+00690212X+sp,2017-02-04 12:19:00
2277,U_464270,C_course-v1:Tsinghua+20150001+sp,2017-01-27 20:12:00
2280,U_464270,C_course-v1:AdelaideX+Wine101x+sp,2017-02-01 13:13:00
2295,U_4461134,C_course-v1:ZUELX+B0800280+sp,2017-02-09 14:34:00
2296,U_4461134,C_course-v1:NUDT+125205501+sp,2017-05-05 16:31:00
2301,U_4461134,C_course-v1:TsinghuaX+JWWCD001+2015_T2,2017-02-09 14:07:00
2302,U_6554552,C_course-v1:TsinghuaX+MOOC101_2015_2+sp,2017-01-11 10:32:00
2303,U_6554552,C_course-v1:UST+UST001+sp,2017-02-16 10:44:00
2304,U_6554552,C_course-v1:PekingX+Peking001x+_,2017-01-11 10:13:00
2308,U_6414784,C_course-v1:TsinghuaX+00701032X+sp,2017-03-06 23:22:00
2309,U_6414784,C_course-v1:TsinghuaX+20440333X+sp,2017-02-15 22:27:00
2320,U_5177482,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2017-06-03 21:50:00
2321,U_6658466,C_course-v1:MITx+6_00_1x+sp,2017-02-11 16:04:00
2407,U_6448791,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-01-14 15:36:00
2408,U_6448791,C_course-v1:UQx+Think101x+sp,2017-06-05 09:28:00
2411,U_6448791,C_course-v1:MITx+6_00_1x+sp,2017-01-15 23:53:00
2412,U_6448791,C_course-v1:TsinghuaX+20430064X+sp,2017-03-28 11:22:00
2479,U_499176,C_course-v1:TsinghuaX+30240243X+sp,2017-05-29 14:51:00
2481,U_499176,C_course-v1:TsinghuaX+30240184+sp,2017-05-28 06:55:00
2482,U_6878903,C_course-v1:TsinghuaX+00740113_2X+sp,2017-03-25 17:36:00
2483,U_6878903,C_course-v1:TsinghuaX+00740113_1X+sp,2017-03-25 17:30:00
2560,U_7025893,C_course-v1:AdelaideX+Wine101x+sp,2017-05-25 12:23:00
2568,U_6616442,C_course-v1:AdelaideX+Wine101x+sp,2017-02-13 21:05:00
2570,U_1976296,C_course-v1:TsinghuaX+60240202X+sp,2017-05-06 20:25:00
2571,U_1976296,C_course-v1:MITx+6_00_1x+sp,2017-05-06 20:08:00
2582,U_286103,C_course-v1:edX+BlendedX+sp,2017-03-26 14:12:00
2596,U_6705966,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2017-05-09 22:18:00
2607,U_7060040,C_course-v1:TsinghuaX+0350161X_2015_T2+sp,2017-05-28 15:18:00
2610,U_7060040,C_course-v1:UQx+Crime101x+sp,2017-05-28 17:31:00
2612,U_7060040,C_course-v1:NCTU+wghx+2017_T1,2017-06-07 12:42:00
2637,U_6730721,C_course-v1:MITx+6_00_1x+sp,2017-05-08 22:45:00
